;id;vendor_id;pickup_datetime;store_and_fwd_flag;trip_duration;distance_km;category_encoded
0;id2875421;1;2016-03-14 17:24:55;0;455.0;1.5004789467430026;930.3997532751514
1;id2377394;0;2016-06-12 00:43:35;0;663.0;1.8071194121139642;930.3997532751514
2;id3858529;1;2016-01-19 11:35:24;0;2124.0;6.392080252604317;930.3997532751514
3;id3504673;1;2016-04-06 19:32:31;0;429.0;1.487154705417205;930.3997532751514
4;id2181028;1;2016-03-26 13:30:55;0;435.0;1.1899254482788029;930.3997532751514
5;id0801584;1;2016-01-30 22:01:40;0;443.0;1.1001071911011968;1061.35522313947
6;id1813257;0;2016-06-17 22:34:59;0;341.0;1.3278523894831544;1053.5297493310802
7;id1324603;1;2016-05-21 07:54:58;0;1551.0;5.722426850861646;930.3997532751514
8;id1301050;0;2016-05-27 23:12:23;0;255.0;1.311541055213959;930.3997532751514
9;id0012891;1;2016-03-10 21:45:01;0;1225.0;5.126939275009514;930.3997532751514
